"location","lat","lon","altitude","tas_C","tasmin_C","tasmax_C","pr_mm","hur_percent","year","month"
"Hopa",41.4,41.4,20,19.5989624023438,16.2497192382813,23.3692565917969,1.52374198660254,27.9654140472412,2091,9
"Hopa",41.4,41.4,20,14.77626953125,10.1657958984375,20.1914306640625,0.574505989789031,43.4231147766113,2091,10
"Hopa",41.4,41.4,20,7.1409851074219,3.40993652343752,11.1326232910156,2.86906699184328,55.2882843017578,2091,11
"Hopa",41.4,41.4,20,1.83468017578127,-0.521185302734352,5.1496520996094,3.17830012645572,54.9330787658691,2091,12
"Hopa",41.4,41.4,20,2.53914794921877,0.218713378906273,5.88985595703127,1.15990730118938,61.4950256347656,2092,1
"Hopa",41.4,41.4,20,4.5612731933594,0.697747802734398,8.9334655761719,2.10133940563537,52.4744033813477,2092,2
"Hopa",41.4,41.4,20,7.12651977539065,3.73504028320315,10.5217834472656,4.50463540619239,63.9032936096191,2092,3
"Hopa",41.4,41.4,20,9.7459655761719,6.80327758789065,12.5445495605469,7.77852726168931,70.0210952758789,2092,4
"Hopa",41.4,41.4,20,18.8410583496094,14.0602661132813,23.3362976074219,5.15349560882896,40.2692222595215,2092,5
"Hopa",41.4,41.4,20,21.7940612792969,17.4657836914063,26.0217529296875,8.26704867649823,38.9636192321777,2092,6
"Hopa",41.4,41.4,20,24.4612670898438,20.8564086914063,28.1842590332031,5.5702417390421,26.9382095336914,2092,7
"Hopa",41.4,41.4,20,23.7336364746094,20.6033874511719,27.1557556152344,4.41312262555584,32.6491432189941,2092,8
"Hopa",41.4,41.4,20,19.0012145996094,15.3500915527344,23.1933227539063,1.50685098487884,23.2878074645996,2092,9
"Hopa",41.4,41.4,20,13.1737609863281,8.89608154296877,18.0730834960938,1.47279190714471,40.5609397888184,2092,10
"Hopa",41.4,41.4,20,9.30166015625002,5.3099304199219,14.0052734375,0.517566241614986,50.0209922790527,2092,11
"Hopa",41.4,41.4,20,0.649133300781273,-2.30573120117185,3.9017272949219,3.24151046806946,57.6880302429199,2092,12
"Hopa",41.4,41.4,20,-1.16644897460935,-3.96552124023435,2.5312438964844,0.970526083256118,47.795783996582,2093,1
"Hopa",41.4,41.4,20,-1.18549194335935,-3.48605957031248,1.3199401855469,3.25949279358611,51.5986518859863,2093,2
"Hopa",41.4,41.4,20,2.09295043945315,-1.06833496093748,5.24288330078127,2.38422643742524,56.3997573852539,2093,3
